RaceEthnicity,PersonIdentifiers,IdentificationSystems,PersonIdentifierTypes,Birthdate,FirstName,MiddleName,LastName,GenerationCodeOrSuffix,Sex
"HispanicOrLatinoEthnicity,DemographicRaceTwoOrMoreRaces,DemographicRaceTwoOrMoreRaces|Asian|AmericanIndianOrAlaskaNative",3080901341,Federal,,2004-05-18,Robert,E,Flores,Sr,Female
"BlackOrAfricanAmerican,DemographicRaceTwoOrMoreRaces|Asian,Asian|NativeHawaiianOrOtherPacificIslander,HispanicOrLatinoEthnicity",1756485964,NationalMigrant,,2007-04-25,David,A,Garcia,,Female
"HispanicOrLatinoEthnicity,White",4635691593|1713559300|9523941552,Program|EducatorID|,HkeUVMCnzmlLXggpdYEM|jfLxUKobDdJlutbwyjaUIXTKLknIYjJQZ|WFenFMWmyoiNLWzZPUfAlDaK,2014-10-29,DeShawn,Lee,Okafor,IV,Male
"|NativeHawaiianOrOtherPacificIslander,DemographicRaceTwoOrMoreRaces,White",3672255055|746873524,PIN|CanadianSIN,VpYgEczIXDWQtpchOgVF|ufnDQYIUpxcNVVHBiTPbGktJc,2013-06-17,David,C,Okafor,II,Female
"RaceAndEthnicityUnknown,Asian,RaceAndEthnicityUnknown",7806438472|8356445847,CanadianSIN|BirthCertificate,uBoDfgQTXCzgZyflRjNPmFwhFcWNjkqDXrXVskHuhpdjkIw|eLXI,1964-05-27,Mary,,Scott,Jr,NotSelected
"BlackOrAfricanAmerican,Asian,HispanicOrLatinoEthnicity|DemographicRaceTwoOrMoreRaces,BlackOrAfricanAmerican,NativeHawaiianOrOtherPacificIslander|AmericanIndianOrAlaskaNative,NativeHawaiianOrOtherPacificIslander,White",4860130713,ProfessionalCertificate,SMouBEWkOMcYEpZxoaEYdRvyTDWRlnUSQIEuallQmacdP,1957-07-11,Sandra,,Moore,,Female
"BlackOrAfricanAmerican,HispanicOrLatinoEthnicity,RaceAndEthnicityUnknown",7837339019,State,dZfUZmIZHiQkvmyvajmVqA,2005-12-05,Mei-Ling,H,Adams,III,Male
DemographicRaceTwoOrMoreRaces,1162182961,SSN,ufrdC,1958-10-16,Steven,D,Moore,,NotSelected
White|Asian|,8813788428|3487598265,SSN|EducatorID,|wLLnYHpFRFCdesGAYNbIeWmCxyCYjWxteFLIx,2009-10-30,Karen,Marie,Okafor,,Female
"White|Asian,AmericanIndianOrAlaskaNative,AmericanIndianOrAlaskaNative",5708154934,SelectiveService,rRbiVophgfqbkpbDudNzVMOgnBNG,2009-07-11,Michael,Dean,Wright,Sr,Male
